geo_borough,building_type,owner_class,class_parcels,class_units,parcels,units,parcel_share,unit_share
Pinecrest,sfr_1_4,trust,27,33,5273,5431,0.005120424805613503,0.006076229055422574
North Miami Beach,sfr_1_4,individual,6000,6343,7288,7972,0.823271130625686,0.7956598093326643
Aventura,large_mf,partnership,2,379,5,1140,0.4,0.33245614035087717
Miami Gardens,sfr_1_4,llc,1418,1463,26357,26682,0.053799749592138714,0.05483097219099018
Doral,large_mf,corp,2,404,31,8769,0.06451612903225806,0.04607138784353974
North Bay Village,sfr_1_4,partnership,1,1,375,379,0.0026666666666666666,0.002638522427440633
Hialeah,small_mf,llc,263,2361,576,5209,0.4565972222222222,0.45325398349011325
Unincorporated County,condo_unit,lender_reo,24,24,84322,84322,0.00028462322999928846,0.00028462322999928846
North Miami,large_mf,corp,10,587,82,6662,0.12195121951219512,0.0881116781747223
Surfside,sfr_1_4,individual,898,910,1105,1131,0.8126696832579186,0.8045977011494253
Bal Harbour,large_mf,llc,1,36,1,36,1.0,1.0
Hialeah,condo_unit,lender_reo,12,12,21559,21559,0.0005566120877591725,0.0005566120877591725
Doral,condo_unit,unknown,262,262,11494,11494,0.022794501479032538,0.022794501479032538
Unincorporated County,coop_building,estate,11,11,660,660,0.016666666666666666,0.016666666666666666
Florida City,small_mf,individual,1,8,23,203,0.043478260869565216,0.03940886699507389
North Bay Village,sfr_1_4,corp,8,8,375,379,0.021333333333333333,0.021108179419525065
Opa-locka,small_mf,corp,7,50,54,499,0.12962962962962962,0.10020040080160321
North Miami,condo_unit,corp,346,346,5265,5265,0.06571699905033239,0.06571699905033239
Unincorporated County,large_mf,partnership,34,4561,434,63166,0.07834101382488479,0.07220656682392426
South Miami,condo_unit,estate,2,2,728,728,0.0027472527472527475,0.0027472527472527475
Surfside,condo_unit,corp,131,131,2072,2072,0.06322393822393822,0.06322393822393822
Sunny Isles Beach,sfr_1_4,unknown,8,9,378,390,0.021164021164021163,0.023076923076923078
North Miami Beach,condo_unit,lender_reo,1,1,5678,5678,0.00017611835153222966,0.00017611835153222966
North Bay Village,small_mf,llc,5,41,7,70,0.7142857142857143,0.5857142857142857
South Miami,sfr_1_4,partnership,3,3,2907,2994,0.0010319917440660474,0.001002004008016032
Doral,condo_unit,partnership,17,17,11494,11494,0.0014790325387158518,0.0014790325387158518
Miami Lakes,sfr_1_4,llc,235,239,7475,7497,0.031438127090301006,0.03187941843404028
Hialeah,sfr_1_4,trust,68,80,31710,34986,0.0021444339325134027,0.0022866289372892013
North Miami,sfr_1_4,unknown,338,354,9186,9910,0.03679512301328108,0.03572149344096872
Key Biscayne,coop_building,trust,8,8,131,131,0.061068702290076333,0.061068702290076333
Miami Lakes,sfr_1_4,partnership,32,32,7475,7497,0.004280936454849498,0.004268374016273176
North Bay Village,sfr_1_4,trust,1,1,375,379,0.0026666666666666666,0.002638522427440633
Bay Harbor Islands,small_mf,partnership,3,39,31,325,0.0967741935483871,0.12
Miami Shores,small_mf,corp,2,24,6,62,0.3333333333333333,0.3870967741935484
Unincorporated County,sfr_1_4,corp,2925,3435,251643,261828,0.011623609637462597,0.013119299692928181
