geo_neighborhood,building_type,owner_class,class_parcels,class_units,parcels,units,parcel_share,unit_share,suppressed
19102,condo_unit,individual,1298,1298,1739,1739,0.7464059804485337,0.7464059804485337,false
19149,sfr_1_4,unknown,49,53,17699,18838,0.0027685179953669697,0.0028134621509714407,false
19128,large_mf,individual,5,500,21,1610,0.23809523809523808,0.3105590062111801,false
19121,sfr_1_4,unknown,293,445,9590,11329,0.030552659019812304,0.03927972460058258,false
19120,sfr_1_4,llc,964,1117,19963,21331,0.048289335270249964,0.05236510243307862,false
19141,sfr_1_4,unknown,52,60,8894,9926,0.005846638183044749,0.006044731009470079,false
19138,mixed_use_res,corp,12,12,207,207,0.057971014492753624,0.057971014492753624,false
19136,sfr_1_4,estate,2,2,10243,10999,0.00019525529629991212,0.00018183471224656787,false
19104,large_mf,corp,1,100,35,2618,0.02857142857142857,0.03819709702062643,false
19107,large_mf,individual,11,904,30,2412,0.36666666666666664,0.3747927031509121,false
19121,small_mf,trust,3,15,292,1460,0.010273972602739725,0.010273972602739725,false
"",sfr_1_4,unknown,1,1,2,2,,,true
19125,sfr_1_4,corp,59,70,9884,10239,0.0059692432213678676,0.006836605137220432,false
19132,mixed_use_res,llc,118,118,525,525,0.22476190476190477,0.22476190476190477,false
19144,condo_unit,lender_reo,1,1,23,23,0.043478260869565216,0.043478260869565216,false
19152,large_mf,individual,1,51,20,1216,0.05,0.04194078947368421,false
19129,condo_unit,individual,406,406,423,423,0.9598108747044918,0.9598108747044918,false
19134,sfr_1_4,partnership,53,56,20821,21515,0.0025455069401085443,0.0026028352312340228,false
19139,sfr_1_4,partnership,84,107,13362,15114,0.006286484059272564,0.007079528913590049,false
19139,small_mf,partnership,15,75,151,755,0.09933774834437085,0.09933774834437085,false
19116,sfr_1_4,unknown,22,28,8956,10344,0.0024564537740062527,0.0027068832173240526,false
19130,sfr_1_4,lender_reo,2,3,5723,6639,0.00034946706272933774,0.00045187528242205153,false
19123,sfr_1_4,lender_reo,1,1,3107,3442,0.000321853878339234,0.0002905287623474724,false
19140,sfr_1_4,llc,2177,2570,17861,19224,0.12188567269469794,0.13368705784436122,false
19136,small_mf,individual,5,25,41,205,0.12195121951219512,0.12195121951219512,false
19102,mixed_use_res,partnership,2,2,19,19,0.10526315789473684,0.10526315789473684,false
19149,large_mf,corp,1,100,4,302,0.25,0.33112582781456956,false
19122,large_mf,llc,5,304,15,1010,0.3333333333333333,0.300990099009901,false
19121,mixed_use_res,trust,2,2,362,362,0.0055248618784530384,0.0055248618784530384,false
19103,sfr_1_4,corp,4,4,1521,1661,0.0026298487836949377,0.002408187838651415,false
19119,mixed_use_res,corp,4,4,141,141,0.028368794326241134,0.028368794326241134,false
19124,large_mf,partnership,4,302,7,455,0.5714285714285714,0.6637362637362637,false
19133,small_mf,unknown,4,20,54,270,0.07407407407407407,0.07407407407407407,false
19130,sfr_1_4,unknown,77,115,5723,6639,0.013454481915079504,0.01732188582617864,false
19144,mixed_use_res,unknown,10,10,312,312,0.03205128205128205,0.03205128205128205,false
19118,small_mf,corp,8,40,23,115,0.34782608695652173,0.34782608695652173,false
19131,mixed_use_res,individual,191,191,291,291,0.6563573883161512,0.6563573883161512,false
19136,large_mf,individual,1,100,6,404,0.16666666666666666,0.24752475247524752,false
19125,condo_unit,individual,452,452,539,539,0.8385899814471243,0.8385899814471243,false
19128,large_mf,corp,3,202,21,1610,0.14285714285714285,0.12546583850931678,false
19148,condo_unit,individual,23,23,24,24,0.9583333333333334,0.9583333333333334,false
19123,large_mf,llc,10,657,36,2816,0.2777777777777778,0.2333096590909091,false
"",large_mf,individual,3,300,56,5600,0.05357142857142857,0.05357142857142857,false
19146,sfr_1_4,coop_corp,1,1,15145,16278,0.00006602839220864973,0.00006143260842855388,false
19118,small_mf,unknown,6,30,23,115,0.2608695652173913,0.2608695652173913,false
19128,condo_unit,unknown,1,1,738,738,0.0013550135501355014,0.0013550135501355014,false
19123,sfr_1_4,corp,14,22,3107,3442,0.004505954296749276,0.006391632771644393,false
19121,condo_unit,corp,1,1,234,234,0.004273504273504274,0.004273504273504274,false
19146,sfr_1_4,trust,311,333,15145,16278,0.020534829976890063,0.02045705860670844,false
19118,condo_unit,individual,132,132,140,140,0.9428571428571428,0.9428571428571428,false
19115,condo_unit,unknown,122,122,2005,2005,0.06084788029925187,0.06084788029925187,false
