code,description,source
S2,"PRIMARILY 2 FAMILY WITH 1 STORE OR OFFICE",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
S3,"PRIMARILY 3 FAMILY WITH 1 STORE OR OFFICE",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
S4,"PRIMARILY 4 FAMILY WITH 1 STORE OR OFFICE",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
S5,"PRIMARILY 5-6 FAMILY WITH 1 STORE OR OFFICE",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
S9,"SINGLE OR MULTIPLE DWELLING WITH STORES OR OFFICES",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
T1,"AIRPORT, AIRFIELD, TERMINAL",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
T2,"PIER, DOCK, BULKHEAD",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
T9,"MISCELLANEOUS TRANSPORTATION FACILITY",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
U0,"UTILITY COMPANY LAND AND BUILDING",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
U1,"BRIDGE, TUNNEL, HIGHWAY",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
U2,"GAS OR ELECTRIC UTILITY",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
U3,"CEILING RAILROAD",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
U4,"TELEPHONE UTILITY",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
U5,"COMMUNICATION FACILITY OTHER THAN TELEPHONE",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
U6,"RAILROAD - PRIVATE OWNERSHIP",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
U7,"TRANSPORTATION - PUBLIC OWNERSHIP",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
U8,"REVOCABLE CONSENT",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
U9,"MISCELLANEOUS UTILITY PROPERTY",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
UR,"UTILITY REVOCABLE CONSENT",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
V0,"ZONED RESIDENTIAL; NOT MANHATTAN",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
V1,"ZONED COMMERCIAL OR MANHATTAN RESIDENTIAL",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
V2,"ZONED COMMERCIAL ADJACENT TO CLASS 1 DWELLING: NOT MANHATTAN",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
V3,"ZONED PRIMARILY RESIDENTIAL; NOT MANHATTAN",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
V4,"POLICE OR FIRE DEPARTMENT",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
V5,"SCHOOL SITE OR YARD",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
V6,"LIBRARY, HOSPITAL OR MUSEUM",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
V7,"PORT AUTHORITY OF NEW YORK AND NEW JERSEY",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
V8,"NEW YORK STATE OR US GOVERNMENT",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
V9,"MISCELLANEOUS VACANT LAND",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
VG,"COMMUNITY GARDEN ZONED RESIDENTIAL; NOT MANHATTAN",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
VC,"COMMUNITY GARDEN ZONED COMMERCIAL OR MANHATTAN",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
W1,"PUBLIC ELEMENTARY, JUNIOR OR SENIOR HIGH",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
W2,"PAROCHIAL SCHOOL, YESHIVA",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
W3,"SCHOOL OR ACADEMY",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
W4,"TRAINING SCHOOL",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
W5,"CITY UNIVERSITY",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
W6,"OTHER COLLEGE AND UNIVERSITY",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
W7,"THEOLOGICAL SEMINARY",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
W8,"OTHER PRIVATE SCHOOL",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
W9,"MISCELLANEOUS EDUCATIONAL FACILITY",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
Y1,"FIRE DEPARTMENT",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
Y2,"POLICE DEPARTMENT",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
Y3,"PRISON, JAIL, HOUSE OF DETENTION",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
Y4,"MILITARY AND NAVAL INSTALLATION",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
Y5,"DEPARTMENT OF REAL ESTATE",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
