geo_borough,building_type,owner_class,class_parcels,class_units,parcels,units,parcel_share,unit_share
West Chicago,mixed_use_res,llc,590,2240,3455,12687,0.170767004341534,0.17655868211555134
Schaumburg,small_mf,corp,4,28,85,550,0.047058823529411764,0.05090909090909091
Palos,mixed_use_res,lender_reo,1,3,67,232,0.014925373134328358,0.01293103448275862
Stickney,sfr_1_4,llc,48,60,12199,12758,0.003934748749897532,0.004702931493964571
West Chicago,condo_unit,corp,389,389,33410,33410,0.011643220592636935,0.011643220592636935
Lemont,mixed_use_res,individual,31,95,53,160,0.5849056603773585,0.59375
Evanston,condo_unit,unknown,288,288,7147,7147,0.04029662795578565,0.04029662795578565
Barrington,small_mf,llc,2,12,14,96,0.14285714285714285,0.125
Hyde Park,condo_unit,individual,11630,11630,14299,14299,0.8133435904608713,0.8133435904608713
New Trier,mixed_use_res,unknown,5,20,72,232,0.06944444444444445,0.08620689655172414
Lemont,small_mf,llc,16,106,38,251,0.42105263157894735,0.42231075697211157
Evanston,sfr_1_4,individual,11927,13629,12712,14700,0.9382473253618628,0.9271428571428572
Palatine,mixed_use_res,individual,18,58,30,89,0.6,0.651685393258427
River Forest,sfr_1_4,corp,5,6,2915,2990,0.0017152658662092624,0.002006688963210702
Norwood Park,sfr_1_4,partnership,2,2,8122,8477,0.0002462447672986949,0.0002359325232983367
Thornton,sfr_1_4,partnership,110,114,51588,55178,0.002132278824532837,0.0020660408133676466
Lake View,condo_unit,corp,220,220,57917,57917,0.0037985392889825094,0.0037985392889825094
Riverside,mixed_use_res,unknown,2,9,35,106,0.05714285714285714,0.08490566037735849
West Chicago,small_mf,corp,158,1055,4282,27847,0.036898645492760396,0.037885589111933064
Bremen,small_mf,lender_reo,1,6,399,2519,0.002506265664160401,0.0023818975784041284
Northfield,small_mf,individual,148,898,218,1334,0.6788990825688074,0.6731634182908546
Lyons,sfr_1_4,partnership,11,11,29832,32300,0.0003687315634218289,0.00034055727554179566
Jefferson,condo_unit,partnership,4,4,23205,23205,0.00017237664296487827,0.00017237664296487827
Berwyn,small_mf,unknown,30,194,351,2223,0.08547008547008547,0.08726945569050833
River Forest,sfr_1_4,individual,2759,2828,2915,2990,0.946483704974271,0.945819397993311
Jefferson,sfr_1_4,trust,1107,1448,108568,144577,0.010196374622356496,0.010015424306770786
Northfield,condo_unit,unknown,336,336,7916,7916,0.04244567963617989,0.04244567963617989
Orland,sfr_1_4,trust,316,319,28369,28668,0.01113891924283549,0.011127389423747733
Lyons,sfr_1_4,llc,243,327,29832,32300,0.008145615446500403,0.010123839009287925
Lyons,small_mf,lender_reo,5,32,489,3105,0.010224948875255624,0.010305958132045089
Norwood Park,mixed_use_res,corp,2,4,33,97,0.06060606060606061,0.041237113402061855
Worth,condo_unit,corp,72,72,10741,10741,0.0067032864723954935,0.0067032864723954935
Rogers Park,condo_unit,estate,1,1,11288,11288,0.00008858965272856131,0.00008858965272856131
New Trier,coop_building,coop_corp,5,5,5,5,1.0,1.0
Thornton,condo_unit,llc,32,32,3048,3048,0.010498687664041995,0.010498687664041995
Wheeling,sfr_1_4,trust,393,401,36061,36302,0.010898200271761737,0.011046223348575836
Bloom,condo_unit,llc,76,76,1336,1336,0.05688622754491018,0.05688622754491018
Calumet,sfr_1_4,llc,92,118,4447,5076,0.0206881043400045,0.023246650906225373
Orland,condo_unit,llc,50,50,7619,7619,0.006562541015881349,0.006562541015881349
