year,geo_borough,sales,units,entity_sales,entity_units,sale_share,unit_share
2011,Stickney,355,411,17,22,0.04788732394366197,0.0535279805352798
2011,Thornton,1465,1714,215,279,0.14675767918088736,0.16277712952158693
2011,West Chicago,3637,6518,544,1831,0.14957382458069837,0.28091439091745934
2011,Wheeling,1568,1614,86,106,0.0548469387755102,0.06567534076827757
2011,Worth,1343,1469,103,122,0.0766939687267312,0.08304969366916269
2012,Barrington,232,241,13,17,0.05603448275862069,0.07053941908713693
2012,Berwyn,661,905,66,120,0.09984871406959153,0.13259668508287292
2012,Bloom,942,1081,135,196,0.14331210191082802,0.18131359851988899
2012,Bremen,1187,1315,179,240,0.15080033698399326,0.18250950570342206
2012,Calumet,154,282,15,96,0.09740259740259741,0.3404255319148936
2012,Cicero,633,950,41,104,0.06477093206951026,0.10947368421052632
2012,Elk Grove,995,1023,57,75,0.05728643216080402,0.07331378299120235
2012,Evanston,879,1063,86,184,0.09783845278725825,0.17309501411100658
2012,Hanover,1404,1478,117,161,0.08333333333333333,0.10893098782138025
2012,Hyde Park,2574,4458,664,1672,0.257964257964258,0.37505607895917453
2012,Jefferson,5742,7940,679,1393,0.11825148032044584,0.17544080604534004
2012,Lake,4833,6629,719,1262,0.14876888061245602,0.1903756222658018
2012,Lake View,4430,5748,406,1196,0.09164785553047404,0.20807237299930412
2012,Lemont,214,264,16,60,0.07476635514018691,0.22727272727272727
2012,Leyden,1183,1377,85,169,0.07185122569737955,0.12273057371096587
2012,Lyons,1368,1552,84,174,0.06140350877192982,0.11211340206185567
2012,Maine,1893,1993,113,137,0.05969360802958267,0.06874059207225289
2012,New Trier,994,1027,76,89,0.07645875251509054,0.0866601752677702
2012,Niles,1508,1749,90,122,0.05968169761273209,0.06975414522584333
2012,North Chicago,3120,3450,215,425,0.06891025641025642,0.12318840579710146
2012,Northfield,1307,1356,63,71,0.04820198928844682,0.05235988200589971
2012,Norwood Park,366,388,22,22,0.060109289617486336,0.05670103092783505
2012,Oak Park,676,792,63,134,0.09319526627218935,0.1691919191919192
2012,Orland,1072,1119,57,90,0.05317164179104478,0.08042895442359249
2012,Palatine,1609,1680,116,127,0.07209446861404599,0.07559523809523809
2012,Palos,616,649,29,35,0.04707792207792208,0.053929121725731895
2012,Proviso,1810,2237,173,352,0.09558011049723757,0.15735359856951275
2012,Rich,1129,1157,227,231,0.20106288751107174,0.1996542783059637
